代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600004.SH,白云机场,2003-04-28,N/A,4.6489,5.2752,4.6309,5.2692,187469932,1512258214,N/A,N/A,8.0667,46.8675,3500000000,N/A,8750000000,400000000,0,1000000000,30.5218,7.288,9.3119,79.0055,
600004.SH,白云机场,2003-04-29,5.2692,5.1186,5.2451,4.9801,5.1126,75212876,635863436,-0.1566,-2.9714,8.4542,18.8032,3396000000,N/A,8490000000,400000000,0,1000000000,29.6149,7.0714,9.0352,76.6579,
600004.SH,白云机场,2003-04-30,5.1126,5.1487,5.4799,5.1487,5.3354,80122537,710063498,0.2228,4.3581,8.8622,20.0306,3544000000,N/A,8860000000,400000000,0,1000000000,30.9055,7.3796,9.429,79.9987,
600004.SH,白云机场,2003-05-12,5.3354,5.2391,5.3414,4.9982,5.227,36122395,308806284,-0.1084,-2.0316,8.5489,9.0306,3472000000,N/A,8680000000,400000000,0,1000000000,30.2776,7.2297,9.2374,78.3734,
600004.SH,白云机场,2003-05-13,5.227,5.2029,5.215,4.8175,4.8717,39277696,325715933,-0.3553,-6.7972,8.2926,9.8194,3236000000,N/A,8090000000,400000000,0,1000000000,28.2196,6.7382,8.6095,73.0462,
600004.SH,白云机场,2003-05-14,4.8717,4.8175,5.1126,4.7694,5.0283,30387370,253425348,0.1566,3.2138,8.3398,7.5968,3340000000,N/A,8350000000,400000000,0,1000000000,29.1265,6.9548,8.8862,75.3938,
600004.SH,白云机场,2003-05-15,5.0283,5.0163,5.1728,4.9139,5.1487,28183918,236834456,0.1204,2.3952,8.4032,7.046,3420000000,N/A,8550000000,400000000,0,1000000000,29.8242,7.1214,9.0991,77.1996,
600004.SH,白云机场,2003-05-16,5.1487,5.1487,5.227,5.0343,5.1548,36065125,307204529,0.006,0.117,8.518,9.0163,3424000000,N/A,8560000000,400000000,0,1000000000,29.859,7.1297,9.1097,77.2899,
600004.SH,白云机场,2003-05-19,5.1548,5.1789,5.4077,5.1789,5.2692,46250444,407544272,0.1144,2.2196,8.8117,11.5626,3500000000,N/A,8750000000,400000000,0,1000000000,30.5218,7.288,9.3119,79.0055,
600004.SH,白云机场,2003-05-20,5.2692,5.2692,5.3174,5.1487,5.227,17067564,147727684,-0.0422,-0.8,8.6555,4.2669,3472000000,N/A,8680000000,400000000,0,1000000000,30.2776,7.2297,9.2374,78.3734,
600004.SH,白云机场,2003-05-21,5.227,5.227,5.2812,5.1307,5.1789,12859547,110939930,-0.0482,-0.9217,8.627,3.2149,3440000000,N/A,8600000000,400000000,0,1000000000,29.9986,7.163,9.1523,77.6511,
600004.SH,白云机场,2003-05-22,5.1789,5.1668,5.2511,5.1186,5.209,10301282,88781118,0.0301,0.5814,8.6185,2.5753,3460000000,N/A,8650000000,400000000,0,1000000000,30.173,7.2047,9.2055,78.1025,
600004.SH,白云机场,2003-05-23,5.209,5.2391,5.7329,5.1247,5.492,72926760,670901997,0.283,5.4335,9.1997,18.2317,3648000000,N/A,9120000000,400000000,0,1000000000,31.8124,7.5961,9.7057,82.3463,
600004.SH,白云机场,2003-05-26,5.492,5.4799,5.6606,5.4739,5.5101,46718180,431132436,0.0181,0.3289,9.2284,11.6795,3660000000,N/A,9150000000,400000000,0,1000000000,31.9171,7.6211,9.7376,82.6171,
600004.SH,白云机场,2003-05-27,5.5101,5.5341,5.5944,5.4559,5.5101,20188005,184901453,0,0,9.159,5.047,3660000000,N/A,9150000000,400000000,0,1000000000,31.9171,7.6211,9.7376,82.6171,
600004.SH,白云机场,2003-05-28,5.5101,5.5402,5.5883,5.4077,5.4318,33183174,302104859,-0.0783,-1.4208,9.1042,8.2958,3608000000,N/A,9020000000,400000000,0,1000000000,31.4636,7.5128,9.5993,81.4433,
600004.SH,白云机场,2003-05-29,5.4318,5.4318,5.6425,5.3956,5.6305,23025540,210900164,0.1987,3.6585,9.1594,5.7564,3740000000,N/A,9350000000,400000000,0,1000000000,32.6147,7.7877,9.9505,84.423,
600004.SH,白云机场,2003-05-30,5.6305,5.6486,5.7389,5.5402,5.5582,26011735,244128620,-0.0723,-1.2834,9.3853,6.5029,3692000000,N/A,9230000000,400000000,0,1000000000,32.1961,7.6878,9.8227,83.3395,
600004.SH,白云机场,2003-06-02,5.5582,5.5703,5.7028,5.5402,5.5883,21582098,201804921,0.0301,0.5417,9.3506,5.3955,3712000000,N/A,9280000000,400000000,0,1000000000,32.3706,7.7294,9.876,83.7909,
